Date,Pool,Action,Token A Symbol,Token A Amount,Token A Price (USD),Token B Symbol,Token B Amount,Token B Price (USD),Total USD Value,Fees Collected (USD),Fees Collected (Token A),Fees Collected (Token B),Auto-Compound Harvested (Token A),Auto-Compound Harvested (Token B),Auto-Compound Redeposited (Token A),Auto-Compound Redeposited (Token B),Auto-Compound Leftover (Token A),Auto-Compound Leftover (Token B),Realized PnL (USD),Cost Basis (USD),Position Address,Pool Address,Transaction
2026-07-25T16:55:29.000Z,SOL/USDC,Collect Fees,SOL,0.000411097,74.191083,USDC,0.030193,0.999970,0.06,0.06,0.000411097,0.030193,,,,,,,0.06,68.56,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,3VtdTWfhHoxCGxMTiDLF7tfamjBSRkkr6ghpkJq5edRPPYGd7bvFbFduauFPDkTt5U53J6PaRN6L22mA6gLrux5Q
2026-07-25T04:23:30.000Z,SOL/USDC,Open Position,SOL,0.536776747,74.248067,USDC,28.707091,0.999965,68.56,0.00,0,0,,,,,,,0.00,68.56,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4zSwBgwK3zgv9jGTcaYFefhMptfMKdV38KRjdvEnwLoVqt5QPrmsRnXL6MmV3d9WoAXjjm8MbiZBMXazJcPEhhBP
2026-07-25T04:14:22.000Z,SOL/USDC,Close Position,SOL,0.46548317,74.160000,USDC,68.615354,0.999938,103.13,0.03,0.000154003,0.014996,,,,,,,0.12,0.00,EfJDWFo1wCQ8hNzpbamdqeYunQRRV5JGNCEbPWjqBeQ,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5hyG8PXpTRoxd8R5nuFamBZWMNibyW8NZ2Jb2mfcKm6tJwXURHBKrxaucKEqStV4eaCeNB862tLuv3v1e2zuUL3C
2026-07-25T03:59:45.000Z,SOL/USDC,Collect Fees,SOL,0.000153948,74.078158,USDC,0.012789,0.999972,0.02,0.02,0.000153948,0.012789,,,,,,,0.02,103.03,EfJDWFo1wCQ8hNzpbamdqeYunQRRV5JGNCEbPWjqBeQ,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,MQXxtRBDg4Rm9m3iwx53YXhebrXY7AGvgMXiHnAJF2sKxZEGgadtfUwu7bVcBAcWDw4rco7nzZ9R1qiaYiWLu1A
2026-07-25T01:32:41.000Z,SOL/USDC,Open Position,SOL,0.604487208,73.978225,USDC,58.314905,0.999968,103.03,0.00,0,0,,,,,,,0.00,103.03,EfJDWFo1wCQ8hNzpbamdqeYunQRRV5JGNCEbPWjqBeQ,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4gZ4pRKmAy9DqoynE6oZoqCLWNbf8vtPXfqdCdqW87fWg82ecLTx6TJDZiGSDs1iiYZUagRKZxdJseP2Sygaprkb
2026-07-24T03:04:13.000Z,SOL/USDC,Close Position,SOL,0.108537752,75.596827,USDC,6.402679,0.999880,14.61,0.02,0.000135496,0.010009,,,,,,,0.01,0.00,Ff69cAzAXMqqisMpt63ZY5JSbvQt9A6Y7ARWf4CiYs8o,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4UxNWaWXByRwGD6ydYjwm88V7abswUp1U96oqeoxtiqitXHPzh9AeQD9u2g2vuvy9bZPPHQd8P6dSqzZ1DFfDjPZ
2026-07-23T22:44:29.000Z,SOL/USDC,Increase Liquidity,SOL,0.013474136,76.112610,USDC,1.987442,0.999886,3.01,0.00,0,0,,,,,,,0.00,14.59,Ff69cAzAXMqqisMpt63ZY5JSbvQt9A6Y7ARWf4CiYs8o,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5WB6od2mFSvSfE3JjXYn2TbmJwmaKBXVjfEhgANZZ268XJiEf3CdkpU267A94jxYJhybv3D1NSCi9BF1aW6FyPGH
2026-07-23T18:00:11.000Z,SOL/USDC,Open Position,SOL,0.085273767,75.555150,USDC,5.137429,0.999850,11.58,0.00,0,0,,,,,,,0.00,11.58,Ff69cAzAXMqqisMpt63ZY5JSbvQt9A6Y7ARWf4CiYs8o,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,3m8voib92CPVPfhU8kTheLf4vwLwafwApDMvdUubdrJgouh9Rxq5vwpwn1EZ2SthuUZe4hFJqYWRtbvkmhXkNpHQ
2026-07-22T19:21:48.000Z,SOL/USDC,Close Position,SOL,0.125416346,77.542283,USDC,13.264996,0.999910,22.99,0.08,0.000521847,0.04179,,,,,,,0.14,0.00,AzFojBz21eS3zeQhSnkvEtX5hyghEAoPfeTrw5BpZCis,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,VdZJo7KMztL9CKmU3YTmMTA2ocq2axosPp4VV8wuP9TfoqTFGvBimV7czbydTyitMq38dkQZSUdadotPBR4KoEY
2026-07-22T19:12:15.000Z,SOL/USDC,Collect Fees,SOL,0.000513987,77.426587,USDC,0.040865,0.999810,0.08,0.08,0.000513987,0.040865,,,,,,,0.08,22.93,AzFojBz21eS3zeQhSnkvEtX5hyghEAoPfeTrw5BpZCis,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5c6HVQwEGqZ2VYaqhVd3gaa12QToMnkVDeHrJ4wbisSW37nE24xHZsVmgYag5SDkH3iNyb1USEt4qT7BEkAhympE
